Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated
P1[0.00,0.00,0.00]=2.48;P2[8.00,2.40,0.00]=5.68;P3[13.00,0.00,0.00]=10.72;P8[5.90,10.00,0.00]=9.22;[2.20,1.40,0.37]
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.66;P3[13.00,0.00,0.00]=10.69;P8[5.90,10.00,0.00]=9.24;[2.21,1.38,0.41]
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.67;P3[13.00,0.00,0.00]=10.71;P8[5.90,10.00,0.00]=9.12;[2.21,1.39,0.40]
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.62;P8[5.90,10.00,0.00]=9.12;[2.22,1.40,0.35]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.63;P8[5.90,10.00,0.00]=9.22;[2.24,1.38,0.39]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.67;P3[13.00,0.00,0.00]=10.64;P8[5.90,10.00,0.00]=9.15;[2.24,1.38,0.42]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.67;P3[13.00,0.00,0.00]=10.58;P8[5.90,10.00,0.00]=9.17;[2.26,1.38,0.40]
P1[0.00,0.00,0.00]=2.48;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.71;P8[5.90,10.00,0.00]=9.16;[2.23,1.45,0.14]
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.67;P3[13.00,0.00,0.00]=10.59;P8[5.90,10.00,0.00]=9.08;[2.23,1.44,0.31]
P1[0.00,0.00,0.00]=2.48;P2[8.00,2.40,0.00]=5.70;P3[13.00,0.00,0.00]=10.68;P8[5.90,10.00,0.00]=9.11;[2.22,1.44,0.32]
P1[0.00,0.00,0.00]=2.46;P2[8.00,2.40,0.00]=5.74;P3[13.00,0.00,0.00]=10.67;P8[5.90,10.00,0.00]=9.23;[2.22,1.41,0.39]
