Anchor/Range	Anchor/Range	Anchor/Range	Anchor/Range	LS_Estimated		Estimated	GTX	GTY	ERRO
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.68	P3[13.00,0.00,0.00]=10.67	P8[5.90,10.00,0.00]=9.05	2,42	1,61	[2,18,1,46,0,36]	2,32	1,40	0,23
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.73	P3[13.00,0.00,0.00]=10.72	P8[5.90,10.00,0.00]=9.22	2,36	1,46	[2,18,1,43,0,42]	2,32	1,40	0,07
P1[0.00,0.00,0.00]=2.43	P2[8.00,2.40,0.00]=5.71	P3[13.00,0.00,0.00]=10.69	P8[5.90,10.00,0.00]=9.22	2,39	1,45	[2,19,1,41,0,44]	2,32	1,40	0,09
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.69	P3[13.00,0.00,0.00]=10.70	P8[5.90,10.00,0.00]=9.14	2,39	1,53	[2,19,1,42,0,40]	2,32	1,40	0,15
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.71	P3[13.00,0.00,0.00]=10.71	P8[5.90,10.00,0.00]=9.07	2,38	1,60	[2,18,1,44,0,36]	2,32	1,40	0,21
P1[0.00,0.00,0.00]=2.41	P2[8.00,2.40,0.00]=5.68	P3[13.00,0.00,0.00]=10.65	P8[5.90,10.00,0.00]=9.12	2,43	1,53	[2,18,1,43,0,48]	2,32	1,40	0,17
P1[0.00,0.00,0.00]=2.46	P2[8.00,2.40,0.00]=5.68	P3[13.00,0.00,0.00]=10.76	P8[5.90,10.00,0.00]=9.20	2,34	1,50	[2,16,1,50,0,22]	2,32	1,40	0,10
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.60	P3[13.00,0.00,0.00]=10.66	P8[5.90,10.00,0.00]=9.10	2,44	1,56	[2,16,1,54,0,06]	2,32	1,40	0,20
P1[0.00,0.00,0.00]=2.41	P2[8.00,2.40,0.00]=5.70	P3[13.00,0.00,0.00]=10.60	P8[5.90,10.00,0.00]=9.19	2,46	1,44	[2,17,1,48,0,26]	2,32	1,40	0,15
P1[0.00,0.00,0.00]=2.43	P2[8.00,2.40,0.00]=5.70	P3[13.00,0.00,0.00]=10.68	P8[5.90,10.00,0.00]=9.15	2,40	1,51	[2,18,1,46,0,25]	2,32	1,40	0,14
P1[0.00,0.00,0.00]=2.41	P2[8.00,2.40,0.00]=5.72	P3[13.00,0.00,0.00]=10.66	P8[5.90,10.00,0.00]=9.19	2,41	1,47	[2,19,1,44,0,21]	2,32	1,40	0,11
P1[0.00,0.00,0.00]=2.44	P2[8.00,2.40,0.00]=5.68	P3[13.00,0.00,0.00]=10.70	P8[5.90,10.00,0.00]=9.18	2,39	1,49	[2,20,1,42,0,25]	2,32	1,40	0,11
P1[0.00,0.00,0.00]=2.43	P2[8.00,2.40,0.00]=5.69	P3[13.00,0.00,0.00]=10.69	P8[5.90,10.00,0.00]=9.26	2,39	1,41	[2,20,1,39,0,31]	2,32	1,40	0,07
P1[0.00,0.00,0.00]=2.41	P2[8.00,2.40,0.00]=5.70	P3[13.00,0.00,0.00]=10.67	P8[5.90,10.00,0.00]=9.13	2,41	1,53	[2,19,1,39,0,45]	2,32	1,40	0,16
P1[0.00,0.00,0.00]=2.46	P2[8.00,2.40,0.00]=5.63	P3[13.00,0.00,0.00]=10.76	P8[5.90,10.00,0.00]=9.12	2,36	1,58	[2,20,1,38,0,56]	2,32	1,40	0,18
P1[0.00,0.00,0.00]=2.46	P2[8.00,2.40,0.00]=5.64	P3[13.00,0.00,0.00]=10.62	P8[5.90,10.00,0.00]=9.14	2,46	1,50	[2,21,1,39,0,47]	2,32	1,40	0,17
P1[0.00,0.00,0.00]=2.39	P2[8.00,2.40,0.00]=5.67	P3[13.00,0.00,0.00]=10.75	P8[5.90,10.00,0.00]=9.12	2,36	1,57	[2,18,1,46,0,27]	2,32	1,40	0,17
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.70	P3[13.00,0.00,0.00]=10.68	P8[5.90,10.00,0.00]=9.05	2,41	1,61	[2,18,1,48,0,26]	2,32	1,40	0,23
P1[0.00,0.00,0.00]=2.50	P2[8.00,2.40,0.00]=5.72	P3[13.00,0.00,0.00]=10.65	P8[5.90,10.00,0.00]=9.19	2,42	1,47	[2,19,1,45,0,34]	2,32	1,40	0,12
P1[0.00,0.00,0.00]=2.48	P2[8.00,2.40,0.00]=5.70	P3[13.00,0.00,0.00]=10.55	P8[5.90,10.00,0.00]=9.13	2,50	1,48	[2,21,1,42,0,47]	2,32	1,40	0,20
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.74	P3[13.00,0.00,0.00]=10.57	P8[5.90,10.00,0.00]=9.10	2,48	1,52	[2,22,1,41,0,56]	2,32	1,40	0,20
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.75	P3[13.00,0.00,0.00]=10.65	P8[5.90,10.00,0.00]=9.16	2,42	1,49	[2,23,1,41,0,53]	2,32	1,40	0,13
P1[0.00,0.00,0.00]=2.49	P2[8.00,2.40,0.00]=5.78	P3[13.00,0.00,0.00]=10.49	P8[5.90,10.00,0.00]=9.05	2,54	1,53	[2,25,1,40,0,56]	2,32	1,40	0,26
P1[0.00,0.00,0.00]=2.48	P2[8.00,2.40,0.00]=5.78	P3[13.00,0.00,0.00]=10.52	P8[5.90,10.00,0.00]=9.22	2,51	1,38	[2,28,1,37,0,46]	2,32	1,40	0,19
P1[0.00,0.00,0.00]=2.48	P2[8.00,2.40,0.00]=5.77	P3[13.00,0.00,0.00]=10.59	P8[5.90,10.00,0.00]=9.10	2,46	1,53	[2,27,1,37,0,57]	2,32	1,40	0,19
P1[0.00,0.00,0.00]=2.43	P2[8.00,2.40,0.00]=5.81	P3[13.00,0.00,0.00]=10.53	P8[5.90,10.00,0.00]=9.13	2,50	1,47	[2,27,1,36,0,61]	2,32	1,40	0,19
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.74	P3[13.00,0.00,0.00]=10.56	P8[5.90,10.00,0.00]=9.26	2,48	1,36	[2,28,1,33,0,53]	2,32	1,40	0,16
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.80	P3[13.00,0.00,0.00]=10.49	P8[5.90,10.00,0.00]=9.10	2,53	1,48	[2,29,1,33,0,58]	2,32	1,40	0,22
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.76	P8[5.90,10.00,0.00]=9.18	null	2,26	1,56	[2,26,1,36,0,58]	2,32	1,40	0,17
P1[0.00,0.00,0.00]=2.49	P2[8.00,2.40,0.00]=5.79	P8[5.90,10.00,0.00]=9.09	null	2,22	1,67	[2,22,1,40,0,60]	2,32	1,40	0,29
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.80	P8[5.90,10.00,0.00]=9.12	P7[2.90,24.00,0.00]=22.36	2,21	1,65	[2,19,1,43,0,60]	2,32	1,40	0,27
P1[0.00,0.00,0.00]=2.49	P2[8.00,2.40,0.00]=5.75	P8[5.90,10.00,0.00]=9.22	null	2,28	1,51	[2,19,1,42,0,64]	2,32	1,40	0,12
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.77	P3[13.00,0.00,0.00]=10.61	P8[5.90,10.00,0.00]=9.19	2,44	1,45	[2,21,1,40,0,54]	2,32	1,40	0,13
P1[0.00,0.00,0.00]=2.48	P2[8.00,2.40,0.00]=5.75	P3[13.00,0.00,0.00]=10.55	P8[5.90,10.00,0.00]=9.25	2,49	1,36	[2,24,1,36,0,50]	2,32	1,40	0,17
P1[0.00,0.00,0.00]=2.44	P2[8.00,2.40,0.00]=5.79	P3[13.00,0.00,0.00]=10.48	P8[5.90,10.00,0.00]=9.09	2,54	1,49	[2,26,1,36,0,52]	2,32	1,40	0,24
P1[0.00,0.00,0.00]=2.43	P2[8.00,2.40,0.00]=5.80	P3[13.00,0.00,0.00]=10.47	P8[5.90,10.00,0.00]=9.04	2,55	1,53	[2,28,1,36,0,48]	2,32	1,40	0,26
P1[0.00,0.00,0.00]=2.44	P2[8.00,2.40,0.00]=5.79	P3[13.00,0.00,0.00]=10.60	P8[5.90,10.00,0.00]=9.22	2,44	1,41	[2,28,1,35,0,42]	2,32	1,40	0,12
P1[0.00,0.00,0.00]=2.43	P2[8.00,2.40,0.00]=5.78	P3[13.00,0.00,0.00]=10.55	P8[5.90,10.00,0.00]=9.17	2,48	1,44	[2,27,1,33,0,52]	2,32	1,40	0,16
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.74	P3[13.00,0.00,0.00]=10.48	P8[5.90,10.00,0.00]=9.20	2,54	1,38	[2,29,1,31,0,59]	2,32	1,40	0,22
P1[0.00,0.00,0.00]=2.42	P2[8.00,2.40,0.00]=5.77	P8[5.90,10.00,0.00]=9.13	null	2,24	1,62	[2,24,1,35,0,54]	2,32	1,40	0,23
P1[0.00,0.00,0.00]=2.44	P2[8.00,2.40,0.00]=5.72	P3[13.00,0.00,0.00]=10.61	P8[5.90,10.00,0.00]=9.16	2,45	1,48	[2,24,1,35,0,63]	2,32	1,40	0,15
P1[0.00,0.00,0.00]=2.42	P2[8.00,2.40,0.00]=5.82	P3[13.00,0.00,0.00]=10.64	P8[5.90,10.00,0.00]=9.23	2,40	1,42	[2,24,1,34,0,56]	2,32	1,40	0,08
P1[0.00,0.00,0.00]=2.44	P2[8.00,2.40,0.00]=5.76	P8[5.90,10.00,0.00]=9.29	null	2,29	1,43	[2,22,1,33,0,60]	2,32	1,40	0,04
P1[0.00,0.00,0.00]=2.41	P2[8.00,2.40,0.00]=5.79	P3[13.00,0.00,0.00]=10.58	P8[5.90,10.00,0.00]=9.18	2,46	1,44	[2,23,1,32,0,66]	2,32	1,40	0,15
P1[0.00,0.00,0.00]=2.48	P2[8.00,2.40,0.00]=5.80	P3[13.00,0.00,0.00]=10.48	P8[5.90,10.00,0.00]=9.16	2,53	1,42	[2,25,1,31,0,70]	2,32	1,40	0,21
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.76	P8[5.90,10.00,0.00]=9.02	null	2,23	1,74	[2,21,1,38,0,58]	2,32	1,40	0,35
P1[0.00,0.00,0.00]=2.44	P2[8.00,2.40,0.00]=5.72	P3[13.00,0.00,0.00]=10.54	P8[5.90,10.00,0.00]=9.21	2,50	1,40	[2,23,1,35,0,66]	2,32	1,40	0,18
P1[0.00,0.00,0.00]=2.41	P2[8.00,2.40,0.00]=5.78	P8[5.90,10.00,0.00]=9.13	null	2,23	1,62	[2,20,1,39,0,59]	2,32	1,40	0,24
P1[0.00,0.00,0.00]=2.38	P2[8.00,2.40,0.00]=5.77	P3[13.00,0.00,0.00]=10.55	P8[5.90,10.00,0.00]=9.21	2,48	1,40	[2,21,1,35,0,63]	2,32	1,40	0,16
P1[0.00,0.00,0.00]=2.42	P2[8.00,2.40,0.00]=5.72	P3[13.00,0.00,0.00]=10.54	P8[5.90,10.00,0.00]=9.11	2,51	1,49	[2,22,1,35,0,64]	2,32	1,40	0,21
P1[0.00,0.00,0.00]=2.43	P2[8.00,2.40,0.00]=5.80	P3[13.00,0.00,0.00]=10.55	P8[5.90,10.00,0.00]=9.13	2,48	1,48	[2,23,1,35,0,66]	2,32	1,40	0,18
P1[0.00,0.00,0.00]=2.43	P2[8.00,2.40,0.00]=5.80	P3[13.00,0.00,0.00]=10.53	P8[5.90,10.00,0.00]=9.21	2,49	1,39	[2,24,1,32,0,71]	2,32	1,40	0,17
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.78	P3[13.00,0.00,0.00]=10.50	P8[5.90,10.00,0.00]=9.12	2,53	1,47	[2,26,1,32,0,71]	2,32	1,40	0,22
P1[0.00,0.00,0.00]=2.46	P2[8.00,2.40,0.00]=5.74	P3[13.00,0.00,0.00]=10.49	P8[5.90,10.00,0.00]=9.20	2,54	1,39	[2,27,1,30,0,74]	2,32	1,40	0,22
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.80	P3[13.00,0.00,0.00]=10.58	P8[5.90,10.00,0.00]=9.16	2,46	1,46	[2,26,1,31,0,79]	2,32	1,40	0,15
P1[0.00,0.00,0.00]=2.48	P2[8.00,2.40,0.00]=5.80	P3[13.00,0.00,0.00]=10.52	P8[5.90,10.00,0.00]=9.19	2,50	1,41	[2,27,1,30,0,82]	2,32	1,40	0,18
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.79	P3[13.00,0.00,0.00]=10.43	P8[5.90,10.00,0.00]=9.16	2,57	1,40	[2,29,1,29,0,77]	2,32	1,40	0,25
P1[0.00,0.00,0.00]=2.43	P2[8.00,2.40,0.00]=5.78	P8[5.90,10.00,0.00]=9.18	null	2,24	1,57	[2,25,1,32,0,72]	2,32	1,40	0,19
P1[0.00,0.00,0.00]=2.42	P2[8.00,2.40,0.00]=5.75	P3[13.00,0.00,0.00]=10.45	P8[5.90,10.00,0.00]=9.22	2,56	1,35	[2,27,1,29,0,72]	2,32	1,40	0,25
P1[0.00,0.00,0.00]=2.42	P2[8.00,2.40,0.00]=5.77	P8[5.90,10.00,0.00]=9.15	null	2,24	1,60	[2,24,1,33,0,67]	2,32	1,40	0,22
P1[0.00,0.00,0.00]=2.43	P2[8.00,2.40,0.00]=5.79	P3[13.00,0.00,0.00]=10.57	P8[5.90,10.00,0.00]=9.21	2,46	1,41	[2,24,1,32,0,72]	2,32	1,40	0,14
P1[0.00,0.00,0.00]=2.41	P2[8.00,2.40,0.00]=5.77	P3[13.00,0.00,0.00]=10.52	P8[5.90,10.00,0.00]=9.19	2,51	1,41	[2,25,1,30,0,73]	2,32	1,40	0,19
P1[0.00,0.00,0.00]=2.40	P2[8.00,2.40,0.00]=5.73	P3[13.00,0.00,0.00]=10.59	P8[5.90,10.00,0.00]=9.24	2,46	1,39	[2,24,1,29,0,77]	2,32	1,40	0,14
P1[0.00,0.00,0.00]=2.41	P2[8.00,2.40,0.00]=5.71	P3[13.00,0.00,0.00]=10.56	P8[5.90,10.00,0.00]=9.18	2,49	1,43	[2,24,1,29,0,78]	2,32	1,40	0,17
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.77	P8[5.90,10.00,0.00]=9.05	null	2,23	1,71	[2,21,1,36,0,68]	2,32	1,40	0,32
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.78	P3[13.00,0.00,0.00]=10.52	P8[5.90,10.00,0.00]=9.04	2,52	1,55	[2,23,1,37,0,66]	2,32	1,40	0,25
P1[0.00,0.00,0.00]=2.46	P2[8.00,2.40,0.00]=5.72	P3[13.00,0.00,0.00]=10.60	P8[5.90,10.00,0.00]=9.10	2,46	1,53	[2,23,1,38,0,71]	2,32	1,40	0,19
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.70	P8[5.90,10.00,0.00]=9.20	null	2,33	1,51	[2,23,1,37,0,68]	2,32	1,40	0,11
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.72	P3[13.00,0.00,0.00]=10.50	P8[5.90,10.00,0.00]=9.20	2,53	1,39	[2,24,1,34,0,72]	2,32	1,40	0,21
P1[0.00,0.00,0.00]=2.48	P2[8.00,2.40,0.00]=5.74	P8[5.90,10.00,0.00]=9.20	null	2,29	1,53	[2,23,1,36,0,71]	2,32	1,40	0,13
P1[0.00,0.00,0.00]=2.42	P2[8.00,2.40,0.00]=5.75	P3[13.00,0.00,0.00]=10.57	P8[5.90,10.00,0.00]=9.03	2,48	1,58	[2,23,1,38,0,67]	2,32	1,40	0,24
P1[0.00,0.00,0.00]=2.48	P2[8.00,2.40,0.00]=5.71	P3[13.00,0.00,0.00]=10.46	P8[5.90,10.00,0.00]=9.22	2,56	1,36	[2,26,1,34,0,72]	2,32	1,40	0,24
P1[0.00,0.00,0.00]=2.49	P2[8.00,2.40,0.00]=5.80	P3[13.00,0.00,0.00]=10.53	P8[5.90,10.00,0.00]=9.21	2,49	1,39	[2,28,1,32,0,60]	2,32	1,40	0,17
P1[0.00,0.00,0.00]=2.40	P2[8.00,2.40,0.00]=5.74	P3[13.00,0.00,0.00]=10.50	P8[5.90,10.00,0.00]=9.15	2,53	1,44	[2,29,1,32,0,60]	2,32	1,40	0,21
P1[0.00,0.00,0.00]=2.40	P2[8.00,2.40,0.00]=5.71	P3[13.00,0.00,0.00]=10.52	P8[5.90,10.00,0.00]=9.18	2,52	1,42	[2,28,1,30,0,63]	2,32	1,40	0,20
P1[0.00,0.00,0.00]=2.40	P2[8.00,2.40,0.00]=5.76	P3[13.00,0.00,0.00]=10.58	P8[5.90,10.00,0.00]=9.18	2,46	1,44	[2,27,1,30,0,67]	2,32	1,40	0,15
P1[0.00,0.00,0.00]=2.48	P2[8.00,2.40,0.00]=5.72	P3[13.00,0.00,0.00]=10.52	P8[5.90,10.00,0.00]=9.22	2,52	1,38	[2,29,1,29,0,54]	2,32	1,40	0,20
P1[0.00,0.00,0.00]=2.53	P2[8.00,2.40,0.00]=5.79	P3[13.00,0.00,0.00]=10.60	P8[5.90,10.00,0.00]=9.19	2,45	1,44	[2,29,1,31,0,56]	2,32	1,40	0,14
P1[0.00,0.00,0.00]=2.48	P2[8.00,2.40,0.00]=5.78	P3[13.00,0.00,0.00]=10.50	P8[5.90,10.00,0.00]=9.09	2,53	1,50	[2,30,1,32,0,60]	2,32	1,40	0,23
P1[0.00,0.00,0.00]=2.48	P2[8.00,2.40,0.00]=5.78	P8[5.90,10.00,0.00]=9.15	null	2,24	1,60	[2,26,1,36,0,62]	2,32	1,40	0,22
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.78	P3[13.00,0.00,0.00]=10.54	P8[5.90,10.00,0.00]=9.09	2,50	1,51	[2,26,1,36,0,65]	2,32	1,40	0,21
P1[0.00,0.00,0.00]=2.49	P2[8.00,2.40,0.00]=5.81	P8[5.90,10.00,0.00]=9.20	null	2,22	1,56	[2,23,1,38,0,69]	2,32	1,40	0,19
P1[0.00,0.00,0.00]=2.44	P2[8.00,2.40,0.00]=5.81	P3[13.00,0.00,0.00]=10.45	P8[5.90,10.00,0.00]=9.20	2,55	1,37	[2,26,1,34,0,70]	2,32	1,40	0,23
P1[0.00,0.00,0.00]=2.46	P2[8.00,2.40,0.00]=5.77	P3[13.00,0.00,0.00]=10.56	P8[5.90,10.00,0.00]=9.22	2,48	1,40	[2,27,1,33,0,59]	2,32	1,40	0,16
P1[0.00,0.00,0.00]=2.43	P2[8.00,2.40,0.00]=5.76	P3[13.00,0.00,0.00]=10.57	P8[5.90,10.00,0.00]=9.04	2,48	1,57	[2,26,1,35,0,60]	2,32	1,40	0,23
P1[0.00,0.00,0.00]=2.37	P2[8.00,2.40,0.00]=5.75	P8[5.90,10.00,0.00]=9.17	null	2,26	1,57	[2,23,1,37,0,49]	2,32	1,40	0,18
P1[0.00,0.00,0.00]=2.50	P2[8.00,2.40,0.00]=5.72	P3[13.00,0.00,0.00]=10.50	P8[5.90,10.00,0.00]=9.05	2,54	1,54	[2,25,1,38,0,54]	2,32	1,40	0,26
P1[0.00,0.00,0.00]=2.46	P2[8.00,2.40,0.00]=5.76	P3[13.00,0.00,0.00]=10.59	P8[5.90,10.00,0.00]=9.14	2,46	1,49	[2,25,1,37,0,64]	2,32	1,40	0,17
P1[0.00,0.00,0.00]=2.41	P2[8.00,2.40,0.00]=5.77	P3[13.00,0.00,0.00]=10.51	P8[5.90,10.00,0.00]=9.19	2,51	1,40	[2,26,1,34,0,66]	2,32	1,40	0,19
P1[0.00,0.00,0.00]=2.42	P2[8.00,2.40,0.00]=5.72	P3[13.00,0.00,0.00]=10.57	P8[5.90,10.00,0.00]=9.14	2,48	1,48	[2,25,1,34,0,69]	2,32	1,40	0,18
P1[0.00,0.00,0.00]=2.44	P2[8.00,2.40,0.00]=5.76	P3[13.00,0.00,0.00]=10.52	P8[5.90,10.00,0.00]=9.16	2,51	1,44	[2,26,1,33,0,72]	2,32	1,40	0,19
P1[0.00,0.00,0.00]=2.42	P2[8.00,2.40,0.00]=5.69	P3[13.00,0.00,0.00]=10.61	P8[5.90,10.00,0.00]=9.21	2,45	1,43	[2,25,1,33,0,62]	2,32	1,40	0,13
P1[0.00,0.00,0.00]=2.39	P2[8.00,2.40,0.00]=5.75	P3[13.00,0.00,0.00]=10.49	P8[5.90,10.00,0.00]=9.16	2,53	1,42	[2,26,1,32,0,61]	2,32	1,40	0,21
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.78	P3[13.00,0.00,0.00]=10.46	P8[5.90,10.00,0.00]=9.25	2,55	1,33	[2,28,1,28,0,68]	2,32	1,40	0,24
P1[0.00,0.00,0.00]=2.39	P2[8.00,2.40,0.00]=5.77	P3[13.00,0.00,0.00]=10.56	P8[5.90,10.00,0.00]=9.04	2,49	1,57	[2,27,1,32,0,62]	2,32	1,40	0,24
P1[0.00,0.00,0.00]=2.43	P2[8.00,2.40,0.00]=5.75	P3[13.00,0.00,0.00]=10.60	P8[5.90,10.00,0.00]=9.21	2,45	1,42	[2,26,1,31,0,70]	2,32	1,40	0,13
P1[0.00,0.00,0.00]=2.37	P2[8.00,2.40,0.00]=5.74	P3[13.00,0.00,0.00]=10.44	P8[5.90,10.00,0.00]=9.23	2,57	1,34	[2,28,1,27,0,66]	2,32	1,40	0,26
P1[0.00,0.00,0.00]=2.46	P2[8.00,2.40,0.00]=5.65	P3[13.00,0.00,0.00]=10.51	P8[5.90,10.00,0.00]=9.26	2,54	1,34	[2,30,1,26,0,52]	2,32	1,40	0,23
P1[0.00,0.00,0.00]=2.50	P2[8.00,2.40,0.00]=5.75	P3[13.00,0.00,0.00]=10.49	P8[5.90,10.00,0.00]=9.18	2,54	1,41	[2,31,1,26,0,62]	2,32	1,40	0,22
P1[0.00,0.00,0.00]=2.42	P2[8.00,2.40,0.00]=5.79	P8[5.90,10.00,0.00]=9.05	null	2,21	1,72	[2,25,1,34,0,53]	2,32	1,40	0,34
P1[0.00,0.00,0.00]=2.43	P2[8.00,2.40,0.00]=5.72	P3[13.00,0.00,0.00]=10.48	P8[5.90,10.00,0.00]=9.10	2,55	1,48	[2,27,1,34,0,53]	2,32	1,40	0,24
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.79	P8[5.90,10.00,0.00]=9.10	null	2,22	1,66	[2,22,1,39,0,53]	2,32	1,40	0,28
P1[0.00,0.00,0.00]=2.44	P2[8.00,2.40,0.00]=5.80	P3[13.00,0.00,0.00]=10.50	P8[5.90,10.00,0.00]=9.25	2,51	1,34	[2,25,1,34,0,62]	2,32	1,40	0,20
P1[0.00,0.00,0.00]=2.41	P2[8.00,2.40,0.00]=5.77	P3[13.00,0.00,0.00]=10.54	P8[5.90,10.00,0.00]=9.10	2,50	1,50	[2,25,1,34,0,62]	2,32	1,40	0,21
P1[0.00,0.00,0.00]=2.43	P2[8.00,2.40,0.00]=5.78	P8[5.90,10.00,0.00]=9.16	null	2,24	1,59	[2,22,1,37,0,59]	2,32	1,40	0,21
P1[0.00,0.00,0.00]=2.43	P2[8.00,2.40,0.00]=5.83	P3[13.00,0.00,0.00]=10.49	P8[5.90,10.00,0.00]=9.20	2,52	1,39	[2,24,1,34,0,64]	2,32	1,40	0,20
P1[0.00,0.00,0.00]=2.44	P2[8.00,2.40,0.00]=5.79	P3[13.00,0.00,0.00]=10.55	P8[5.90,10.00,0.00]=9.10	2,49	1,51	[2,25,1,34,0,66]	2,32	1,40	0,20
P1[0.00,0.00,0.00]=2.44	P2[8.00,2.40,0.00]=5.80	P3[13.00,0.00,0.00]=10.53	P8[5.90,10.00,0.00]=9.19	2,49	1,41	[2,26,1,32,0,70]	2,32	1,40	0,17
P1[0.00,0.00,0.00]=2.44	P2[8.00,2.40,0.00]=5.76	P8[5.90,10.00,0.00]=9.13	null	2,25	1,61	[2,22,1,36,0,64]	2,32	1,40	0,22
P1[0.00,0.00,0.00]=2.40	P2[8.00,2.40,0.00]=5.79	P3[13.00,0.00,0.00]=10.58	P8[5.90,10.00,0.00]=9.18	2,46	1,44	[2,22,1,35,0,68]	2,32	1,40	0,15
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.79	P3[13.00,0.00,0.00]=10.59	P8[5.90,10.00,0.00]=9.16	2,45	1,47	[2,23,1,34,0,74]	2,32	1,40	0,15
P1[0.00,0.00,0.00]=2.43	P2[8.00,2.40,0.00]=5.77	P3[13.00,0.00,0.00]=10.50	P8[5.90,10.00,0.00]=9.24	2,52	1,35	[2,24,1,31,0,76]	2,32	1,40	0,21
P1[0.00,0.00,0.00]=2.43	P2[8.00,2.40,0.00]=5.78	P3[13.00,0.00,0.00]=10.57	P8[5.90,10.00,0.00]=9.15	2,47	1,47	[2,24,1,31,0,78]	2,32	1,40	0,17
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.76	P3[13.00,0.00,0.00]=10.51	P8[5.90,10.00,0.00]=9.15	2,52	1,44	[2,26,1,31,0,79]	2,32	1,40	0,20
P1[0.00,0.00,0.00]=2.37	P2[8.00,2.40,0.00]=5.76	P8[5.90,10.00,0.00]=9.12	null	2,24	1,63	[2,21,1,34,0,81]	2,32	1,40	0,24
P1[0.00,0.00,0.00]=2.46	P2[8.00,2.40,0.00]=5.77	P3[13.00,0.00,0.00]=10.57	P8[5.90,10.00,0.00]=9.16	2,47	1,46	[2,22,1,34,0,83]	2,32	1,40	0,16
P1[0.00,0.00,0.00]=2.43	P2[8.00,2.40,0.00]=5.80	P3[13.00,0.00,0.00]=10.61	P8[5.90,10.00,0.00]=9.19	2,43	1,44	[2,22,1,33,0,86]	2,32	1,40	0,12
P1[0.00,0.00,0.00]=2.44	P2[8.00,2.40,0.00]=5.78	P3[13.00,0.00,0.00]=10.56	P8[5.90,10.00,0.00]=9.19	2,48	1,43	[2,23,1,32,0,86]	2,32	1,40	0,16
P1[0.00,0.00,0.00]=2.42	P2[8.00,2.40,0.00]=5.78	P8[5.90,10.00,0.00]=9.19	null	2,24	1,55	[2,20,1,34,0,79]	2,32	1,40	0,17
P1[0.00,0.00,0.00]=2.46	P2[8.00,2.40,0.00]=5.76	P3[13.00,0.00,0.00]=10.52	P8[5.90,10.00,0.00]=9.22	2,51	1,38	[2,22,1,32,0,82]	2,32	1,40	0,19
P1[0.00,0.00,0.00]=2.37	P2[8.00,2.40,0.00]=5.80	P3[13.00,0.00,0.00]=10.67	P8[5.90,10.00,0.00]=9.13	2,39	1,53	[2,21,1,33,0,81]	2,32	1,40	0,15
P1[0.00,0.00,0.00]=2.51	P2[8.00,2.40,0.00]=5.77	P3[13.00,0.00,0.00]=10.66	P8[5.90,10.00,0.00]=9.20	2,40	1,46	[2,22,1,34,0,78]	2,32	1,40	0,10
P1[0.00,0.00,0.00]=2.41	P2[8.00,2.40,0.00]=5.75	P3[13.00,0.00,0.00]=10.54	P8[5.90,10.00,0.00]=9.22	2,49	1,39	[2,23,1,31,0,79]	2,32	1,40	0,17
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.78	P3[13.00,0.00,0.00]=10.42	P8[5.90,10.00,0.00]=9.19	2,58	1,37	[2,26,1,29,0,76]	2,32	1,40	0,26
P1[0.00,0.00,0.00]=2.44	P2[8.00,2.40,0.00]=5.81	P3[13.00,0.00,0.00]=10.61	P8[5.90,10.00,0.00]=9.09	2,44	1,54	[2,25,1,32,0,77]	2,32	1,40	0,18
